,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
0,shift0001, Polysemy,Abaza,пхьадзара (pχʲadʒara),"to calculate, count",→,Abaza,йпхьадзара (jpχʲadʒara),to presuppose
1,shift0001, Polysemy,Abkhaz,аԥхьаӡара (apʰxʲad͡zara),"to calculate, count",→,Abkhaz,аԥхьаӡара (apʰxʲad͡zara),to admit
2,shift0001, Polysemy,Batsbi,larʻlʻar,to count,→,Batsbi,larʻlʻar,"to consider, to admit"
3,shift0001, Polysemy,Danish,regne,"to calculate, count",→,Danish,regne,to take into account
4,shift0001, Polysemy,English,count,to determine the number of (objects in a group),→,English,count,"to reckon in, to include in consideration"
5,shift0001, Polysemy,French,compter,"to calculate, count",—,French,compter,to take into account
6,shift0001, Polysemy,Geez,ḥasaba,"compute, count",→,Geez,ḥasaba,"think, esteem"
7,shift0001, Polysemy,Hungarian,számít,"to calculate, count",→,Hungarian,számít,to take into account
8,shift0001, Polysemy,Hungarian,számol,"to calculate, count",→,Hungarian,számol,to take into account
9,shift0001, Derivation,Lezgian,hisab,count,NA,Lezgian,hisaba taq’un,"to neglect, not to take in consideration"
10,shift0001, Polysemy,Norwegian,regne,"to calculate, count",→,Norwegian,regne,to take into account
11,shift0001, Internal cognates,Russian,считать (sčitat'),to count,—,Russian,учитывать (učityvat'),to take into account
12,shift0001, Polysemy,Russian,sčitat'sja,"to consider, to regard",—,Russian,sčitat'sja,to take into account
13,shift0001, Polysemy,Sanskrit,gaṇ,"to count , number , enumerate , sum up , add up , reckon",→,Sanskrit,gaṇ,to take into account
14,shift0001, Polysemy,Serbian,рачунати (računati),"to calculate, count",→,Serbian,рачунати (računati),to take into account
15,shift0001, Derivation,Spanish,contar,"to calculate, count",→,Spanish,tener en cuenta,to take into account
16,shift0001, Polysemy,Turkish,say-,"to count, to calculate, to list",NA,Turkish,say-,"to take into account, to lay emphasis on smth"
34,shift0002, Polysemy,Azerbaijani,saymaq,"to calculate, count",→,Azerbaijani,saymaq,to respect
35,shift0002, Polysemy,Gagauz,say-,"to calculate, count",→,Gagauz,say-,to respect
36,shift0002, Polysemy,Ingush,karha,"to count, to reckon",→,Ingush,karha,"to respect, to honour"
37,shift0002, Polysemy,Karaim,say-,"to calculate, count",—,Karaim,say-,to respect
38,shift0002, Polysemy,Khmer,rɔap,count,—,Khmer,rɔap,"esteem, respect"
39,shift0002, Polysemy,Maya,xok,count,—,Maya,xok,respect
40,shift0002, Polysemy,Nahuatl,poa,count,—,Nahuatl,poa,"respect, esteem"
41,shift0002, Polysemy,Old East Slavic,чисти,to count,—,Old East Slavic,чисти,"to esteem, to respect"
42,shift0002, Polysemy,Old Irish,fo-midethar,to calculate,—,Old Irish,fo-midethar,to estimate
43,shift0002, Derivation,Russian,считать,"to calculate, count",—,Russian,почитать,to respect
44,shift0002, Polysemy,Telugu,ennu,count,—,Telugu,ennu,"think, esteem"
45,shift0002, Polysemy,Turkish,say-,"to count, to calculate, to list",—,Turkish,say-,"to respect, to honour"
58,shift0003, Polysemy,Ancient Greek,εὑρίσκω,"to find, to discover",→,Ancient Greek,εὑρίσκω,to consider
59,shift0003, Polysemy,Bagvalal,b=isã,to find,→,Bagvalal,b=isã,to have opinion
60,shift0003, Polysemy,Bulgarian,намирам,to find,→,Bulgarian,намирам,to have opinion
61,shift0003, Polysemy,Danish,finde,to find,→,Danish,finde,to have opinion
62,shift0003, Polysemy,English,find,to find,→,English,find,to consider
63,shift0003, Polysemy,French,trouver,to find,NA,French,trouver,to have an opinion
64,shift0003, Polysemy,German,finden,to find,→,German,finden,to have opinion
65,shift0003, Polysemy,Hungarian,talál,to find,→,Hungarian,talál,to have opinion
66,shift0003, Polysemy,Italian,trovare,to find,→,Italian,trovare,to consider
67,shift0003, Polysemy,Norwegian,finne,to find,→,Norwegian,finne,to have opinion
68,shift0003, Polysemy,Russian,находить (nakhodit'),to find,→,Russian,находить (nakhodit'),to consider
69,shift0003, Polysemy,Serbian,наћи (naći),to find,→,Serbian,наћи (naći),to have opinion
70,shift0003, Polysemy,Swedish,finna,to find,→,Swedish,finna,to consider as
71,shift0003, Polysemy,Tatar,табу,to find,→,Tatar,табу,to have opinion
72,shift0003, Polysemy,Turkish,bul-,to find,NA,Turkish,bul-,to think
88,shift0004, Polysemy,Alyawarr,arrkerneyel ,to taste,—,Alyawarr,arrkerneyel ,to try out
89,shift0004, Polysemy,Amharic,mokkärä,"to eat, take a mouthful, begin to eat",←,Amharic,mokkärä,"to try, test, to try on, try out, give a trial; to attempt, make an attempt"
90,shift0004, Derivation,Croatian,kušati,to taste,→,Croatian,pokušati,"to try, to attempt"
91,shift0004, Polysemy,English,try,to taste,←,English,try,"to try, to attempt"
92,shift0004, Polysemy,Finnish,maistaa,taste,—,Finnish,maistaa,try
93,shift0004, Polysemy,German,probieren,'durch eine Kostprobe den Geschmack von etw. pruerfen' [Duden 3014],←,German,probieren,"versuchen, ob etw. moeglich, durchfuehbar ist' [Dudeen 3014]"
94,shift0004, Polysemy,Gugu-yimidjir,baadal,to taste,—,Gugu-yimidjir,baadal,"to try, to attempt"
95,shift0004, Polysemy,Japanese,tamesu,taste,—,Japanese,tamesu,"test, try"
96,shift0004, Polysemy,Khoekhoe,tsâ,to taste (tr.),—,Khoekhoe,tsâ,"to try, to attempt"
97,shift0004, Polysemy,Kilivila,-yosikola-,taste,—,Kilivila,-yosikola-,try
98,shift0004, Polysemy,Kukatja,yarrkala,to taste,—,Kukatja,yarrkala,to try
99,shift0004, Polysemy,Macedonian,obide,to try (a dish etc),—,Macedonian,obide,to try (fig.)
100,shift0004, Polysemy,Malagasy,manàndrana,taste,—,Malagasy,manàndrana,try
101,shift0004, Polysemy,Maya,tumtah,taste,—,Maya,tumtah,try
102,shift0004, Polysemy,Nahuatl,yecoa:tla,"try or taste something (a dish, food)",—,Nahuatl,yecoa:tla,"do something, make an effort"
103,shift0004, Polysemy,Ngalakgan,many-ngu ,to taste,—,Ngalakgan,many-ngu ,"to try, to attempt"
104,shift0004, Polysemy,Ngarinyin,argu,to taste,—,Ngarinyin,argu,"to try, to attempt"
105,shift0004, Internal cognates,Old East Slavic,въкоусити,to taste,—,Old East Slavic,покуситися,to try
